Z,Drift,CCS,CCS Std.Dev.
24,0.015208,6860.08,21.4086
24,0.015346,6886.7,21.3869
24,0.015484,6913.21,21.3661
24,0.015622,6939.63,21.3464
24,0.01576,6965.95,21.3277
24,0.015899,6992.36,21.3098
24,0.016037,7018.49,21.293
24,0.016175,7044.52,21.2771
24,0.016313,7070.46,21.2621
24,0.016452,7096.49,21.2479
24,0.01659,7122.24,21.2347
24,0.016728,7147.9,21.2224
24,0.016867,7173.66,21.2108
24,0.017005,7199.15,21.2001
24,0.017143,7224.54,21.1902
24,0.017281,7249.85,21.1811
24,0.01742,7275.26,21.1727
24,0.017558,7300.4,21.1651
24,0.017696,7325.45,21.1583
24,0.017834,7350.43,21.1521
24,0.017972,7375.32,21.1467
24,0.018111,7400.21,20.9941
24,0.018249,7424.48,20.6036
24,0.018387,7448.68,20.5949
24,0.018525,7472.9,20.8449
24,0.018664,7497.46,21.0125
24,0.018802,7521.82,21.1241
24,0.01894,7546.15,21.1233
24,0.019079,7570.58,21.123
24,0.019217,7594.76,21.1234
24,0.019355,7618.86,21.1244
24,0.019493,7642.89,21.1259
24,0.019632,7667.02,21.128
24,0.01977,7690.91,21.1306
24,0.019908,7714.72,21.1338
24,0.020046,7738.46,21.1374
24,0.020184,7762.13,21.1406
24,0.020323,7785.9,21.1349
24,0.020461,7809.4,21.1172
24,0.020599,7832.82,21.1026
24,0.020737,7856.16,21.0972
24,0.020876,7879.59,21.0976
24,0.021014,7902.79,21.1023
24,0.021152,7925.92,21.1081
24,0.021291,7949.15,21.1145
24,0.021429,7972.14,21.1212
24,0.021567,7995.07,21.1283
24,0.021705,8017.93,21.1304
24,0.021844,8040.88,21.1318
24,0.021982,8063.61,21.1436
24,0.02212,8086.28,21.1568
24,0.022258,8108.89,21.1699
24,0.022396,8131.43,21.1804
24,0.022535,8154.08,21.1907
24,0.022673,8176.51,21.2013
24,0.022811,8198.87,21.2122
24,0.022949,8221.18,21.2235
24,0.023088,8243.58,21.2353
24,0.023226,8265.77,21.2474
24,0.023364,8287.89,21.2598
24,0.023503,8310.12,21.2727
24,0.023641,8332.13,21.2858
24,0.023779,8354.08,21.2993
24,0.023917,8375.98,21.3131
24,0.024056,8397.97,21.3273
24,0.024194,8419.76,21.3417
24,0.024332,8441.49,21.3565
24,0.02447,8463.16,21.3716
24,0.024608,8484.78,21.387
24,0.024747,8506.5,21.4028
24,0.024885,8528.01,21.4187
24,0.025023,8549.47,21.435
24,0.025162,8571.03,21.4517
24,0.0253,8592.38,21.4686
24,0.025438,8613.68,21.4857
24,0.025576,8634.92,21.5031
