Protein,Charge,Drift,CCS,CCS Std.Dev.,Normalized_Intensity,Scaled_Intensity,m/z
mAb4,21,0.014101,5738.74,23.1439,0.002671453460746529,185.1518282487025,7004.1120379047625
mAb4,21,0.01424,5763.57,23.0963,0.002191014201995671,151.85377218025994,7004.1120379047625
mAb4,21,0.014378,5788.12,23.0502,0.001689456734068951,117.09206529562212,7004.1120379047625
mAb4,21,0.014516,5812.57,23.0053,0.001478274642310332,102.45555713366934,7004.1120379047625
mAb4,21,0.014655,5837.09,22.9613,0.0018584024074758461,128.80127182518433,7004.1120379047625
mAb4,21,0.014793,5861.34,22.9186,0.0014624359854284357,101.3578190215229,7004.1120379047625
mAb4,21,0.014931,5885.48,22.877,0.0009133625468560266,63.30289780044571,7004.1120379047625
mAb4,21,0.015069,5909.53,22.8366,0.0011034264294387836,76.4757551462032,7004.1120379047625
mAb4,21,0.015208,5933.65,22.7968,0.0015046724037801593,104.28512065391344,7004.1120379047625
mAb4,21,0.015346,5957.5,22.7584,0.0013515653872551608,93.67365223649769,7004.1120379047625
mAb4,21,0.015484,5981.25,22.721,0.0017264136001267092,119.65345422396385,7004.1120379047625
mAb4,21,0.015622,6004.91,22.6845,0.0011456628477905073,79.40305677859374,7004.1120379047625
mAb4,21,0.01576,6028.48,22.6491,0.0014729950900163667,102.08964442962053,7004.1120379047625
mAb4,21,0.015899,6052.12,22.6143,0.0007021804550974077,48.666389638492944,7004.1120379047625
mAb4,21,0.016037,6075.51,22.5807,0.0019164774827094661,132.82631156972133,7004.1120379047625
mAb4,21,0.016175,6098.8,22.548,0.0010453513542051634,72.45071540166619,7004.1120379047625
mAb4,21,0.016313,6122.0,22.5161,0.00022174119634654982,15.368333570050403,7004.1120379047625
mAb4,21,0.016452,6145.28,22.4849,0.0011720606092603346,81.23262029883784,7004.1120379047625
mAb4,21,0.01659,6168.29,22.4268,0.00044348239269309964,30.736667140100806,7004.1120379047625
mAb4,21,0.016728,6191.11,22.2992,0.0011878992661422312,82.3303584109843,7004.1120379047625
mAb4,21,0.016867,6214.09,22.4173,0.0017528113615965365,121.48301774420794,7004.1120379047625
mAb4,21,0.017005,6237.01,22.5122,0.0011509424000844728,79.76896948264256,7004.1120379047625
mAb4,21,0.017143,6259.8,22.4153,0.001847843302887915,128.06944641708668,7004.1120379047625
mAb4,21,0.017281,6282.44,22.3873,0.0008236101578586136,57.082381831615784,7004.1120379047625
mAb4,21,0.01742,6305.07,22.1902,0.0011826197138482656,81.96444570693548,7004.1120379047625
mAb4,21,0.017558,6327.51,22.26,0.0011931788184361967,82.69627111503313,7004.1120379047625
mAb4,21,0.017696,6349.93,22.3244,0.001319888073491368,91.47817601220478,7004.1120379047625
mAb4,21,0.017834,6372.3,22.3204,0.0010453513542051634,72.45071540166619,7004.1120379047625
mAb4,21,0.017972,6394.59,22.3004,0.0007655350826249933,53.057342087078766,7004.1120379047625
mAb4,21,0.018111,6416.98,22.29,0.0010453513542051634,72.45071540166619,7004.1120379047625
mAb4,21,0.018249,6439.15,22.2922,0.0011351037432025765,78.67123137049612,7004.1120379047625
mAb4,21,0.018387,6461.27,22.2974,0.0011878992661422312,82.3303584109843,7004.1120379047625
mAb4,21,0.018525,6483.16,22.0646,0.0013621244918430918,94.40547764459534,7004.1120379047625
mAb4,21,0.018664,6504.84,21.7943,0.0007655350826249933,53.057342087078766,7004.1120379047625
mAb4,21,0.018802,6526.41,21.9608,0.0005860303046301673,40.61631014941892,7004.1120379047625
mAb4,21,0.01894,6548.17,22.1513,0.0002745367192862045,19.027460610538593,7004.1120379047625
mAb4,21,0.019079,6570.08,22.2389,0.0015310701652499867,106.11468417415753,7004.1120379047625
mAb4,21,0.019217,6591.75,22.1874,0.0014043609101948155,97.33277927698589,7004.1120379047625
mAb4,21,0.019355,6613.3,22.1223,0.00038012776516551397,26.345714691514978,7004.1120379047625
mAb4,21,0.019493,6634.76,22.0869,0.0008869647853861993,61.47333428020161,7004.1120379047625
